"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Proceed to Checkout", "Go to Checkout"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"We can\'t find products matching the selection.", "We can\'t find products matching the selection."
"Sale", "Sale"
"New", "New"
"Add to Cart", "Add to Cart"
"In stock", "In stock"
"Check items to add to the cart or", "Check items to add to the cart or"
"select all", "select all"
"Day", "Day"
"Hours", "Hours"
"Mins", "Mins"
"Secs", "Secs"
"Expired", "Expired"
"Learn More", "Learn More"
'<i class="fa fa-heart-o"></i> Add to Wish List', '<i class=\"fa fa-heart-o\"></i> Add to Wish List'
"New Products", "New Products"
"My Cart", "My Cart"
"Our Location", "Our Location"
"Contact Us", "Contact Us"
"Write Us", "Write Us"
"* Required Fields", "* Required Fields"
"Jot us a note and we’ll get back to you as quickly as possible.", "Jot us a note and we’ll get back to you as quickly as possible."
"Name", "Name"
"Phone Number", "Phone Number"
"What’s on your mind?", "What’s on your mind?"
"Submit", "Submit"
"Currency : ", "Currency : "
"Currency", "Currency"
"Now Shopping by", "Now Shopping by"
"Sign Up for Our Newsletter:", "Sign Up for Our Newsletter:"
"Enter your email address", "Enter your email address"
"Subscribe", "Subscribe"
"Sign up now !", "Sign up now !"
"Your Language : ", "Your Language : "
"Language", "Language"
"My Account", "My Account"
"Menu", "Menu"
"Account", "Account"
"Settings", "Settings"
"Enter your email address", "Enter your email address"
"Previous", "Previous"
"Next", "Next"
"Wishlist", "Wishlist"
"Login", "Login"
"Top", "Top"